,,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.0949987434,1.266
1396636225.812,11.539,1.36981,1.36992,16.014,1.36981,1.36992,,1.3878152353,4.475
1396636227.515,17.098,1.36978,1.3699,18.667,1.36978,1.3699,,1.0917651187,1.569
1396636227.613,13.784,1.36976,1.36987,15.878,1.36976,1.36987,,1.1519152641,2.094
1396636230.322,15.282,1.36978,1.36989,12.538,1.36978,1.36989,,0.8204423505,-2.744
1396636230.411,12.303,1.36978,1.36988,24.291,1.36978,1.36988,,1.9743964887,11.988
1396636233.722,14.309,1.36979,1.36988,12.884,1.36979,1.36988,,0.9004123279,-1.425
1396636239.558,15.509,1.36979,1.36989,101.63,1.36979,1.36989,,6.5529692437,86.121
1396636239.808,11.922,1.36981,1.36991,13.495,1.36981,1.36991,,1.1319409495,1.573
1396636239.811,25.701,1.3698,1.36991,110.348,1.3698,1.36991,,4.2935294347,84.647
1396636239.853,11.986,1.36982,1.36993,70.865,1.36982,1.36993,,5.9123143668,58.879
1396636244.527,14.485,1.36981,1.36993,16.14,1.36981,1.36993,,1.114256127,1.655
1396636247.516,12.486,1.36979,1.36991,13.708,1.36979,1.36991,,1.097869614,1.222
1396636247.523,20.641,1.36978,1.36991,105.927,1.36978,1.36991,,5.1318734557,85.286
1396636247.547,12.675,1.36979,1.36991,83.702,1.36979,1.36991,,6.6037080868,71.027
1396636248.056,13.094,1.36979,1.3699,13.718,1.36979,1.3699,,1.0476554147,0.624
1396636248.062,24.523,1.36978,1.3699,107.499,1.36978,1.3699,,4.3835990703,82.976
1396636248.353,13.728,1.36979,1.3699,15.098,1.36979,1.3699,,1.0997960373,1.37
1396636248.513,12.353,1.36977,1.36987,14.476,1.36977,1.36987,,1.1718610864,2.123
1396636248.525,15.825,1.36978,1.36989,102.636,1.36978,1.36989,,6.4856872038,86.811
