Compact Stream Performance Test,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396636359.725,14.062,1.36977,1.36988,,1396636304.821,12.552,1.36978,1.3699
1396636364.434,11.979,1.36977,1.36987,,1396636305.911,14.168,1.36977,1.36987
1396636367.552,13.424,1.36977,1.36988,,1396636345.811,12.124,1.36978,1.36986
1396636371.875,13.711,1.36977,1.36989,,1396636347.212,13.503,1.36977,1.36987
1396636371.913,15.377,1.36979,1.36991,,1396636352.111,104.486,1.36977,1.36988
1396636372.025,12.636,1.36981,1.36993,,1396636354.623,49.143,1.36975,1.36986
1396636372.216,12.723,1.36983,1.36994,,1396636359.016,12.93,1.36977,1.36987
1396636372.622,12.418,1.36985,1.36996,,1396636359.029,99.76,1.36979,1.36989
1396636372.741,11.546,1.36988,1.36999,,1396636359.725,12.606,1.36977,1.36988
1396636372.883,12.263,1.36988,1.37,,1396636364.434,12.139,1.36977,1.36987
